"","total_size_bytes","file_count","avg_size_bytes","pct_of_files","pct_of_size"
"htm","7556829704482","39626124","190703.23","47.29","45.17"
"jpg","1760575964313","17496975","100621.73","20.88","10.52"
"xml","5487580734754","12126942","452511.5","14.47","32.8"
"txt","248068859593","4049227","61263.26","4.83","1.48"
"gif","142562657617","2620069","54411.8","3.13","0.85"
"zip","205181878026","863723","237555.19","1.03","1.23"
"js","1277196859","855781","1492.43","1.02","0.01"
"css","2290066926","855781","2676.0","1.02","0.01"
"xsd","35743957057","832307","42945.64","0.99","0.21"
"xlsx","41434461258","721292","57444.78","0.86","0.25"
"json","129268309455","550551","234798.06","0.66","0.77"
"np.nan","26097703477","468824","55666.31","0.56","0.16"
"pdf","731400163395","279577","2616095.61","0.33","4.37"
"xls","254063664863","152410","1666975.03","0.18","1.52"
"png","2528666373","119723","21120.97","0.14","0.02"
"fil","2740603155","109453","25039.09","0.13","0.02"
"paper","2195962","14738","149.0","0.02","0.0"
"","101646837235","0","inf","0.0","0.61"
"html","36972177","584","63308.52","0.0","0.0"
"xfd","9600700","2878","3335.89","0.0","0.0"
"frm","1316451","417","3156.96","0.0","0.0"
